sample_id,ai_chrom_index,uid,n_ai_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order
test3_13,545.0,EPN-1,2,0,1,RED,46
test3_34,275.0,flucetosulfuron-1,1,0,0,GREEN,47
test3_38,144.0,chlorsulfuron-2,1,0,0,GREEN,48
test3_32,498.0,diazinon-2,1,0,0,GREEN,49
test3_7,137.0,simazine-1,1,0,0,GREEN,50
test3_47,184.0,phorate sulfoxide-2,1,0,0,GREEN,51
test3_10,617.0,fluazifop-1,1,0,0,GREEN,52
test3_24,701.0,pyridalyl-1,1,0,0,GREEN,53
test3_51,183.0,phorate sulfoxide-1,1,0,0,GREEN,54
test3_11,560.0,prosulfocarb-2,1,0,0,GREEN,55
test3_25,262.0,promecarb-2,1,0,0,GREEN,56
test3_18,402.0,cyazofamid-2,1,0,0,GREEN,57
test3_14,693.0,methoprene-1,1,0,0,GREEN,58
test3_41,556.0,spinosad A-2,1,0,0,GREEN,59
test3_5,448.0,silthiofam-2,1,0,1,YELLOW,60
test3_32,302.0,halosulfuron-methyl-2,1,0,0,GREEN,61
test3_32,480.0,zoxamide-2,1,0,0,GREEN,62
test3_5,409.0,cyproconazole-1,4,0,3,RED,63
test3_25,433.0,rotenone-1,1,0,0,GREEN,64
test3_48,252.0,ametryn-2,1,0,0,GREEN,65
test3_32,17.0,oxamyl-1,6,1,4,RED,66
test3_50,513.0,pirimiphos-methyl-1,1,0,0,GREEN,67
test3_36,154.0,sulfentrazone-2,1,0,0,GREEN,68
test3_26,306.0,boscalid-2,1,0,0,GREEN,69
test3_14,51.0,3-hydroxy carbofuran-1,1,0,0,GREEN,70
test3_14,154.0,sulfentrazone-2,3,0,2,RED,71
test3_30,338.0,prometryn-2,1,0,0,GREEN,72
test3_33,237.0,clethodim sulfoxide-1,1,0,0,GREEN,73
test3_35,481.0,penthiopyrad-1,1,0,0,GREEN,74
test3_41,199.0,tritosulfuron-1,2,0,2,RED,75
test3_9,560.0,prosulfocarb-2,1,0,0,GREEN,76
test3_8,55.0,carbendazim-1,3,0,3,RED,77
test3_32,494.0,edifenphos-2,1,0,0,GREEN,78
test3_30,618.0,fluazifop-2,1,0,0,GREEN,79
test3_55,561.0,cycloxydim-1,1,0,0,GREEN,80
test3_22,532.0,benzoximate-2,1,0,0,GREEN,81
test3_55,462.0,fonofos-2,1,0,0,GREEN,82
test3_11,641.0,spinetoram L-1,1,0,0,GREEN,83
test3_36,561.0,cycloxydim-1,1,0,0,GREEN,84
test3_22,134.0,metribuzin-2,1,0,1,YELLOW,85
test3_50,519.0,phosalone-1,1,0,0,GREEN,86
test3_3,553.0,isopyrazam-1,1,0,0,GREEN,87
test3_21,517.0,chlorpyrifos-methyl-1,1,0,0,GREEN,88
test3_14,80.0,mevinphos-2,2,0,1,RED,89
test3_30,648.0,metaflumizone-2,1,0,0,GREEN,90
test3_26,485.0,hexaconazole-1,1,0,0,GREEN,91
test3_9,381.0,alachlor-1,2,0,2,RED,92
test3_27,343.0,triadimefon-1,1,0,0,GREEN,93
test3_44,340.0,ethoxysulfuron-2,1,0,0,GREEN,94
test3_52,195.0,atrazine-1,1,0,0,GREEN,95
test3_12,570.0,trifloxystrobin-2,2,0,1,RED,96
test3_44,435.0,dimoxystrobin-1,1,0,0,GREEN,97
test3_26,414.0,thifluzamide-2,1,0,0,GREEN,98
test3_31,487.0,prochloraz metabolite BTS44595-1,1,0,0,GREEN,99
test3_5,184.0,phorate sulfoxide-2,2,0,2,RED,100
test3_50,169.0,cyantraniliprole-1,1,0,0,GREEN,101
test3_31,639.0,triallate-1,1,0,0,GREEN,102
test3_26,363.0,pyridaphenthion-1,1,0,0,GREEN,103
test3_39,369.0,fenpyrazamine-1,1,0,0,GREEN,104
test3_18,343.0,triadimefon-1,1,0,0,GREEN,105
test3_13,291.0,fenpropimorph-1,1,0,0,GREEN,106
test3_24,349.0,bromuconazole-1,2,0,1,RED,107
test3_28,591.0,fenoxaprop-P-ethyl-1,1,0,0,GREEN,108
test3_22,17.0,oxamyl-1,7,0,6,RED,109
test3_8,169.0,cyantraniliprole-1,1,0,0,GREEN,110
test3_35,40.0,imidacloprid-2,1,0,0,GREEN,111
test3_8,537.0,pencycuron-1,1,0,0,GREEN,112
test3_49,439.0,quinalphos-1,1,0,0,GREEN,113
test3_40,39.0,imidacloprid-1,1,0,0,GREEN,114
test3_38,477.0,prochloraz metabolite BTS44596-1,1,0,0,GREEN,115
test3_34,465.0,tebuconazole-1,2,1,0,GREEN,116
test3_40,340.0,ethoxysulfuron-2,1,0,0,GREEN,117
test3_50,422.0,fenoxanil-2,1,0,0,GREEN,118
test3_21,152.0,fenamiphos sulfoxide-2,1,0,0,GREEN,119
test3_9,229.0,iodosulfuron-methyl-sodium-1,1,0,0,GREEN,120
test3_6,699.0,bifenthrin-1,4,0,3,RED,121
test3_51,454.0,fenthion-2,1,0,0,GREEN,122
test3_3,260.0,fenobucarb-2,2,0,2,RED,123
test3_19,628.0,pyriproxyfen-2,1,0,0,GREEN,124
test3_3,179.0,disulfoton sulfoxide-1,2,0,1,RED,125
test3_37,644.0,ethion-2,1,0,0,GREEN,126
test3_23,88.0,phosfolan-2,1,0,0,GREEN,127
test3_27,223.0,metalaxyl-1,1,0,0,GREEN,128
test3_38,85.0,fensulfothion oxon-1,1,0,0,GREEN,129
test3_19,11.0,aldicarb sulfoxide-1,3,0,2,RED,130
test3_6,543.0,dimepiperate-1,5,0,4,RED,131
test3_50,383.0,flufenacet-1,1,0,0,GREEN,132
test3_39,620.0,buprofezin-2,1,0,0,GREEN,133
test3_4,33.0,dicrotophos-1,1,0,0,GREEN,134
test3_6,700.0,bifenthrin-2,4,0,3,RED,135
test3_51,72.0,Chloridazon-2,1,0,0,GREEN,136
test3_14,569.0,trifloxystrobin-1,1,0,0,GREEN,137
test3_40,463.0,tebufenozide-1,2,0,1,RED,138
test3_41,425.0,Fenoxycarb-1,1,0,0,GREEN,139
test3_52,367.0,methoxyfenozide-1,1,0,0,GREEN,140
test3_54,241.0,metazosulfuron-1,1,0,0,GREEN,141
test3_32,550.0,difenoconazole-2,1,0,0,GREEN,142
test3_35,517.0,chlorpyrifos-methyl-1,1,0,0,GREEN,143
test3_13,332.0,malathion-2,1,0,0,GREEN,144
test3_3,194.0,flutriafol-2,2,0,1,RED,145
test3_23,251.0,ametryn-1,1,0,0,GREEN,146
test3_17,240.0,spirotetramat-keto-hydroxy-2,2,1,0,GREEN,147
test3_43,59.0,trichlorfon-1,1,0,0,GREEN,148
test3_41,341.0,procymidone-1,1,0,0,GREEN,149
test3_35,231.0,clethodim sulfone-1,1,0,1,YELLOW,150
test3_54,692.0,tau-fluvalinate-2,2,0,1,RED,151
test3_14,583.0,hexaflumuron-1,1,0,0,GREEN,152
test3_12,229.0,iodosulfuron-methyl-sodium-1,1,0,0,GREEN,153
test3_48,281.0,ethofumesate-1,1,0,0,GREEN,154
test3_47,484.0,pyrametostrobin-2,2,1,0,GREEN,155
test3_43,638.0,piperonyl butoxide-2,1,0,0,GREEN,156
test3_47,237.0,clethodim sulfoxide-1,1,0,1,YELLOW,157
test3_31,359.0,propyrisulfuron-1,1,0,0,GREEN,158
test3_3,168.0,pirimicarb-2,1,0,0,GREEN,159
test3_25,590.0,spinosad D-2,1,0,0,GREEN,160
test3_55,556.0,spinosad A-2,1,0,1,YELLOW,161
test3_47,403.0,spirotetramat-1,1,0,0,GREEN,162
test3_8,544.0,dimepiperate-2,3,0,3,RED,163
test3_49,399.0,diflubenzuron-1,2,0,2,RED,164
test3_46,103.0,phosphamidon-1,1,0,0,GREEN,165
test3_22,353.0,triflusulfuron-methyl-1,1,0,0,GREEN,166
test3_53,119.0,thiophanate-methyl-1,1,0,0,GREEN,167
test3_10,469.0,iprobenfos-1,1,0,0,GREEN,168
test3_21,459.0,fluthiacet-methyl-1,1,0,0,GREEN,169
test3_24,42.0,clothianidin-2,1,0,0,GREEN,170
test3_21,257.0,pyrimethanil-1,1,0,0,GREEN,171
test3_11,513.0,pirimiphos-methyl-1,1,0,0,GREEN,172
test3_32,230.0,iodosulfuron-methyl-sodium-2,1,0,0,GREEN,173
test3_39,594.0,quizalofop-ethyl-2,1,0,0,GREEN,174
test3_13,287.0,saflufenacil-1,3,1,1,RED,175
test3_8,485.0,hexaconazole-1,1,0,0,GREEN,176
test3_41,294.0,Dimethenamid-P-2,1,0,0,GREEN,177
test3_10,45.0,imidaclothiz-1,3,1,2,RED,178
test3_24,27.0,chlordimeform-1,1,0,0,GREEN,179
test3_41,675.0,Proquinazid-1,1,0,0,GREEN,180
test3_51,677.0,pyrethrins I-1,1,0,0,GREEN,181
test3_31,568.0,amisulbrom-2,2,1,0,GREEN,182
test3_9,578.0,pretilachlor-2,1,0,0,GREEN,183
test3_35,464.0,tebufenozide-2,1,0,0,GREEN,184
test3_34,183.0,phorate sulfoxide-1,1,0,0,GREEN,185
test3_41,97.0,phosmet oxon-1,1,0,0,GREEN,186
test3_10,326.0,chlorimuron-ethyl-2,1,0,0,GREEN,187
test3_34,112.0,probenazole-2,1,0,0,GREEN,188
test3_43,12.0,aldicarb sulfoxide-2,2,0,1,RED,189
test3_29,649.0,hexythiazox-1,1,0,0,GREEN,190
test3_49,486.0,hexaconazole-2,1,0,0,GREEN,191
test3_29,91.0,tricyclazole-1,1,0,0,GREEN,192
test3_56,324.0,flutolanil-2,1,0,0,GREEN,193
test3_3,304.0,pyrisoxazole-2,2,0,1,RED,194
test3_9,431.0,fenamiphos-1,1,0,0,GREEN,195
test3_51,628.0,pyriproxyfen-2,1,0,0,GREEN,196
test3_22,234.0,fensulfothion sulfone-2,1,0,0,GREEN,197
test3_7,394.0,iprodione-2,2,0,2,RED,198
test3_56,240.0,spirotetramat-keto-hydroxy-2,1,0,0,GREEN,199
test3_20,379.0,acetochlor-1,1,0,0,GREEN,200
test3_32,20.0,oxydemeton-methyl-2,3,0,3,RED,201
test3_42,186.0,isoprocarb-2,1,0,0,GREEN,202
test3_20,154.0,sulfentrazone-2,2,1,0,GREEN,203
test3_49,66.0,sulfoxaflor-2,1,0,0,GREEN,204
test3_53,202.0,mesosulfuron-methyl-2,1,0,0,GREEN,205
test3_25,238.0,clethodim sulfoxide-2,1,0,0,GREEN,206
test3_27,398.0,propisochlor-2,1,0,0,GREEN,207
test3_21,594.0,quizalofop-ethyl-2,1,0,0,GREEN,208
test3_37,543.0,dimepiperate-1,1,0,0,GREEN,209
test3_51,253.0,chlorantraniliprole-1,1,0,0,GREEN,210
test3_39,180.0,disulfoton sulfoxide-2,1,0,0,GREEN,211
test3_16,254.0,chlorantraniliprole-2,1,0,0,GREEN,212
test3_25,112.0,probenazole-2,1,0,0,GREEN,213
test3_33,446.0,penconazole-2,1,0,0,GREEN,214
test3_8,53.0,diethyl aminoethyl hexanoate-1,1,0,0,GREEN,215
test3_54,152.0,fenamiphos sulfoxide-2,1,0,0,GREEN,216
test3_4,509.0,pyrimorph-1,1,0,0,GREEN,217
test3_37,58.0,acetamiprid-2,1,0,0,GREEN,218
test3_32,81.0,pirimicarb-desmethyl-1,1,0,0,GREEN,219
test3_56,664.0,flumetralin-2,1,0,0,GREEN,220
test3_37,441.0,chlorbenzuron-1,1,0,0,GREEN,221
test3_4,396.0,metolachlor-2,1,0,0,GREEN,222
test3_3,222.0,heptenophos-2,1,0,0,GREEN,223
test3_27,12.0,aldicarb sulfoxide-2,4,0,3,RED,224
test3_25,128.0,metsulfuron-methyl-2,1,0,0,GREEN,225
test3_56,539.0,cyflufenamid-1,1,0,0,GREEN,226
test3_49,668.0,flufenoxuron-2,1,0,0,GREEN,227
test3_43,229.0,iodosulfuron-methyl-sodium-1,1,0,0,GREEN,228
test3_40,438.0,phoxim-2,1,0,0,GREEN,229
test3_49,79.0,mevinphos-1,1,0,0,GREEN,230
test3_30,96.0,formothion-2,3,2,0,GREEN,231
test3_13,442.0,chlorbenzuron-2,2,1,1,YELLOW,232
test3_45,518.0,chlorpyrifos-methyl-2,2,0,1,RED,233
test3_21,466.0,tebuconazole-2,1,0,0,GREEN,234
test3_38,191.0,phorate sulfone-1,2,1,0,GREEN,235
test3_41,417.0,fenothiocarb-1,1,0,0,GREEN,236
test3_46,4.0,propamocarb-2,1,0,0,GREEN,237
test3_42,552.0,cadusafos-2,1,0,0,GREEN,238
test3_44,112.0,probenazole-2,1,0,0,GREEN,239
test3_28,595.0,terbufos-1,1,0,0,GREEN,240
test3_12,287.0,saflufenacil-1,1,0,0,GREEN,241
test3_19,257.0,pyrimethanil-1,1,0,0,GREEN,242
test3_52,665.0,propargite-1,1,0,0,GREEN,243
test3_54,240.0,spirotetramat-keto-hydroxy-2,1,0,0,GREEN,244
test3_48,417.0,fenothiocarb-1,1,0,0,GREEN,245
test3_54,293.0,Dimethenamid-P-1,1,0,1,YELLOW,246
test3_40,694.0,methoprene-2,2,0,1,RED,247
test3_20,460.0,fluthiacet-methyl-2,1,0,0,GREEN,248
test3_18,600.0,spinetoram J-2,1,0,0,GREEN,249
test3_3,563.0,ipconazole-1,2,1,0,GREEN,250
test3_39,306.0,boscalid-2,1,0,0,GREEN,251
test3_39,126.0,bendiocarb-2,1,0,0,GREEN,252
test3_12,146.0,ethirimol-2,1,0,0,GREEN,253
test3_36,73.0,demeton-S-sulfone-1,1,0,0,GREEN,254
test3_11,263.0,linuron-1,1,0,0,GREEN,255
test3_52,112.0,probenazole-2,1,0,0,GREEN,256
test3_30,225.0,orthosulfamuron-1,1,0,0,GREEN,257
test3_5,196.0,atrazine-2,1,0,0,GREEN,258
test3_25,365.0,fenhexamid-1,1,0,0,GREEN,259
test3_11,9.0,oxamyl oxime-1,1,0,0,GREEN,260
test3_49,659.0,lufenuron-1,1,0,0,GREEN,261
test3_42,362.0,triazophos-2,1,0,0,GREEN,262
test3_20,60.0,trichlorfon-2,1,0,1,YELLOW,263
test3_40,261.0,promecarb-1,2,0,1,RED,264
test3_46,562.0,cycloxydim-2,1,0,0,GREEN,265
test3_16,391.0,cyclosulfamuron-1,1,0,0,GREEN,266
test3_24,419.0,cyprodinil-1,1,0,0,GREEN,267
test3_31,493.0,edifenphos-1,1,0,0,GREEN,268
test3_6,366.0,fenhexamid-2,4,0,3,RED,269
test3_45,485.0,hexaconazole-1,1,0,0,GREEN,270
test3_28,385.0,tetraconazole-1,1,0,0,GREEN,271
test3_42,255.0,phosmet-1,1,0,0,GREEN,272
test3_6,567.0,amisulbrom-1,4,1,2,RED,273
test3_44,630.0,Picolinafen-2,1,0,0,GREEN,274
test3_7,451.0,phenthoate-1,2,0,1,RED,275
test3_53,34.0,dicrotophos-2,1,0,0,GREEN,276
test3_47,326.0,chlorimuron-ethyl-2,1,0,0,GREEN,277
test3_55,297.0,flurtamone-1,1,0,0,GREEN,278
test3_39,40.0,imidacloprid-2,1,0,0,GREEN,279
test3_18,555.0,spinosad A-1,1,0,0,GREEN,280
test3_51,197.0,imazalil-1,1,0,0,GREEN,281
test3_44,388.0,napropamide-2,1,0,0,GREEN,282
test3_46,321.0,fluopicolide-1,1,0,0,GREEN,283
test3_15,577.0,pretilachlor-1,1,0,0,GREEN,284
test3_29,616.0,metamifop-2,1,0,0,GREEN,285
test3_39,530.0,pyraclostrobin-2,1,0,0,GREEN,286
test3_5,42.0,clothianidin-2,1,0,0,GREEN,287
test3_46,183.0,phorate sulfoxide-1,1,0,0,GREEN,288
test3_50,179.0,disulfoton sulfoxide-1,1,0,0,GREEN,289
test3_37,105.0,triflumizole metabolite FM-6-1-1,1,0,0,GREEN,290
test3_56,92.0,tricyclazole-2,1,0,0,GREEN,291
test3_45,391.0,cyclosulfamuron-1,1,0,0,GREEN,292
test3_37,108.0,cinosulfuron-2,1,0,0,GREEN,293
test3_45,482.0,penthiopyrad-2,1,0,0,GREEN,294
test3_34,403.0,spirotetramat-1,1,0,0,GREEN,295
test3_53,333.0,myclobutanil-1,1,0,0,GREEN,296
test3_30,224.0,metalaxyl-2,1,0,0,GREEN,297
test3_16,256.0,phosmet-2,3,0,2,RED,298
test3_20,330.0,mepronil-2,1,0,0,GREEN,299
test3_7,339.0,ethoxysulfuron-1,1,0,0,GREEN,300
test3_50,430.0,flusilazole-2,1,0,0,GREEN,301
test3_16,308.0,propyzamide-2,1,0,0,GREEN,302
test3_22,16.0,nitenpyram-2,1,0,0,GREEN,303
test3_22,175.0,chlortoluron-1,1,0,0,GREEN,304
test3_5,166.0,fenthion sulfone-2,3,0,2,RED,305
test3_9,55.0,carbendazim-1,3,0,3,RED,306
test3_14,414.0,thifluzamide-2,1,0,0,GREEN,307
test3_7,198.0,imazalil-2,2,1,0,GREEN,308
test3_20,10.0,oxamyl oxime-2,2,0,1,RED,309
test3_26,263.0,linuron-1,1,0,0,GREEN,310
test3_24,155.0,tebuthiuron-1,1,0,0,GREEN,311
test3_52,319.0,fluxapyroxad-1,1,0,0,GREEN,312
test3_52,333.0,myclobutanil-1,1,0,0,GREEN,313
test3_19,182.0,demeton-S-methyl-2,1,0,0,GREEN,314
test3_15,42.0,clothianidin-2,1,0,0,GREEN,315
test3_36,49.0,vamidothion-1,1,0,0,GREEN,316
test3_23,56.0,carbendazim-2,3,0,3,RED,317
test3_11,366.0,fenhexamid-2,3,0,3,RED,318
test3_29,519.0,phosalone-1,1,0,0,GREEN,319
test3_12,46.0,imidaclothiz-2,3,0,2,RED,320
test3_7,418.0,fenothiocarb-2,3,1,1,RED,321
test3_33,41.0,clothianidin-1,1,0,0,GREEN,322
test3_18,80.0,mevinphos-2,1,0,1,YELLOW,323
test3_47,614.0,imibenconazole-2,1,0,0,GREEN,324
test3_41,605.0,novaluron-1,1,0,1,YELLOW,325
test3_17,176.0,chlortoluron-2,1,0,0,GREEN,326
test3_38,118.0,triasulfuron-2,1,0,0,GREEN,327
test3_27,614.0,imibenconazole-2,1,0,0,GREEN,328
test3_52,207.0,metazachlor-1,1,0,0,GREEN,329
test3_32,217.0,fensulfothion-1,1,0,0,GREEN,330
test3_29,68.0,demeton-S-sulfoxide-2,1,0,0,GREEN,331
test3_7,230.0,iodosulfuron-methyl-sodium-2,2,0,2,RED,332
test3_32,455.0,etrimfos-1,1,0,0,GREEN,333
test3_46,129.0,propoxur-1,1,0,0,GREEN,334
test3_48,55.0,carbendazim-1,2,0,1,RED,335
test3_3,473.0,sulfotep-1,1,0,0,GREEN,336
test3_4,352.0,pyrazosulfuron-ethyl-2,1,0,0,GREEN,337
test3_40,182.0,demeton-S-methyl-2,1,0,0,GREEN,338
test3_26,66.0,sulfoxaflor-2,2,0,2,RED,339
test3_39,83.0,florasulam-1,1,0,0,GREEN,340
test3_3,679.0,chlorfluazuron-1,1,0,0,GREEN,341
test3_49,564.0,ipconazole-2,2,0,1,RED,342
test3_35,18.0,oxamyl-2,2,0,1,RED,343
test3_25,5.0,methomyl-1,3,2,0,GREEN,344
test3_29,61.0,dimethoate-1,1,0,0,GREEN,345
test3_47,431.0,fenamiphos-1,1,0,0,GREEN,346
test3_5,521.0,prochloraz-1,2,0,1,RED,347
test3_56,172.0,penoxsulam-2,1,0,0,GREEN,348
test3_7,542.0,pyraoxystrobin-2,1,0,0,GREEN,349
test3_21,388.0,napropamide-2,1,0,0,GREEN,350
test3_24,464.0,tebufenozide-2,2,0,1,RED,351
test3_23,254.0,chlorantraniliprole-2,1,0,0,GREEN,352
test3_16,199.0,tritosulfuron-1,4,0,4,RED,353
test3_26,234.0,fensulfothion sulfone-2,1,0,0,GREEN,354
test3_19,448.0,silthiofam-2,1,0,0,GREEN,355
test3_54,449.0,Diclobutrazol-1,2,0,1,RED,356
test3_13,578.0,pretilachlor-2,1,0,0,GREEN,357
test3_31,575.0,butachlor-1,1,0,0,GREEN,358
test3_7,670.0,etoxazole-2,1,0,0,GREEN,359
test3_20,434.0,rotenone-2,1,0,0,GREEN,360
test3_46,60.0,trichlorfon-2,1,0,0,GREEN,361
test3_53,274.0,bensulfuron-methyl-2,1,0,0,GREEN,362
test3_38,119.0,thiophanate-methyl-1,1,0,0,GREEN,363
test3_45,242.0,metazosulfuron-2,1,0,0,GREEN,364
test3_20,652.0,tralkoxydim-2,3,0,3,RED,365
test3_9,19.0,oxydemeton-methyl-1,1,0,0,GREEN,366
test3_15,235.0,methidathion-1,2,0,2,RED,367
test3_6,674.0,spiromesifen-2,1,0,1,RED,368
test3_32,314.0,molinate-2,1,0,0,GREEN,369
test3_35,196.0,atrazine-2,1,0,0,GREEN,370
test3_32,689.0,bioresmethrin-1,1,0,0,GREEN,371
test3_22,184.0,phorate sulfoxide-2,1,0,0,GREEN,372
test3_50,367.0,methoxyfenozide-1,1,0,0,GREEN,373
test3_42,264.0,linuron-2,1,0,0,GREEN,374
test3_54,550.0,difenoconazole-2,1,0,0,GREEN,375
test3_11,392.0,cyclosulfamuron-2,1,0,0,GREEN,376
test3_26,169.0,cyantraniliprole-1,1,0,0,GREEN,377
test3_13,694.0,methoprene-2,3,0,2,RED,378
test3_56,399.0,diflubenzuron-1,2,0,1,RED,379
test3_48,483.0,pyrametostrobin-1,1,0,0,GREEN,380
test3_20,234.0,fensulfothion sulfone-2,1,0,0,GREEN,381
test3_12,142.0,pirimicarb-desmethyl-formamido-2,1,0,1,YELLOW,382
test3_31,192.0,phorate sulfone-2,1,0,0,GREEN,383
test3_18,97.0,phosmet oxon-1,1,0,0,GREEN,384
test3_39,381.0,alachlor-1,1,0,0,GREEN,385
test3_54,348.0,triadimenol-2,1,0,0,GREEN,386
test3_33,289.0,fenamidone-1,1,0,0,GREEN,387
test3_35,221.0,heptenophos-1,1,0,0,GREEN,388
test3_49,420.0,cyprodinil-2,2,0,2,RED,389
test3_16,509.0,pyrimorph-1,1,0,0,GREEN,390
test3_17,555.0,spinosad A-1,1,0,0,GREEN,391
test3_46,628.0,pyriproxyfen-2,1,0,0,GREEN,392
test3_43,403.0,spirotetramat-1,1,0,0,GREEN,393
test3_47,357.0,isazofos-1,1,0,0,GREEN,394
test3_46,520.0,phosalone-2,1,0,0,GREEN,395
test3_9,234.0,fensulfothion sulfone-2,1,0,0,GREEN,396
test3_39,90.0,fensulfothion oxon sulfone-2,1,0,0,GREEN,397
test3_37,120.0,thiophanate-methyl-2,1,0,0,GREEN,398
test3_44,633.0,lactofen-1,1,0,0,GREEN,399
test3_3,338.0,prometryn-2,1,0,0,GREEN,400
test3_38,167.0,pirimicarb-1,1,0,0,GREEN,401
test3_6,159.0,carboxin-1,1,0,0,GREEN,402
test3_3,516.0,oxadiargyl-2,3,0,2,RED,403
test3_41,552.0,cadusafos-2,1,0,0,GREEN,404
test3_34,48.0,methiocarb sulfoxide-2,1,0,0,GREEN,405
test3_52,269.0,benazolin-ethyl-1,1,0,0,GREEN,406
test3_12,537.0,pencycuron-1,1,0,0,GREEN,407
test3_24,111.0,probenazole-1,1,0,0,GREEN,408
test3_20,515.0,oxadiargyl-1,1,0,0,GREEN,409
test3_42,214.0,forchlorfenuron-2,1,0,0,GREEN,410
test3_25,271.0,pyriftalid-1,1,0,0,GREEN,411
test3_29,701.0,pyridalyl-1,1,0,0,GREEN,412
test3_39,327.0,isoprothiolane-1,1,0,0,GREEN,413
test3_43,176.0,chlortoluron-2,1,0,0,GREEN,414
test3_20,83.0,florasulam-1,1,0,0,GREEN,415
test3_23,325.0,chlorimuron-ethyl-1,1,0,0,GREEN,416
test3_51,36.0,spirotetramat-enol-2,1,0,0,GREEN,417
test3_25,680.0,chlorfluazuron-2,1,0,0,GREEN,418
test3_21,287.0,saflufenacil-1,1,0,0,GREEN,419
test3_40,503.0,flubendiamide-1,1,0,0,GREEN,420
test3_54,639.0,triallate-1,1,0,0,GREEN,421
test3_15,631.0,tolfenpyrad-1,1,0,0,GREEN,422
test3_26,274.0,bensulfuron-methyl-2,1,0,0,GREEN,423
test3_26,467.0,Penflufen-1,1,0,0,GREEN,424
test3_15,465.0,tebuconazole-1,2,1,0,GREEN,425
test3_14,334.0,myclobutanil-2,1,0,1,YELLOW,426
test3_36,501.0,tolclofos-methyl-1,1,0,0,GREEN,427
test3_23,205.0,diuron-1,1,0,0,GREEN,428
test3_12,639.0,triallate-1,4,2,1,RED,429
test3_52,129.0,propoxur-1,1,0,0,GREEN,430
test3_15,172.0,penoxsulam-2,1,0,0,GREEN,431
test3_35,327.0,isoprothiolane-1,1,0,0,GREEN,432
test3_47,345.0,sedaxane-1,2,0,1,RED,433
test3_21,225.0,orthosulfamuron-1,1,0,0,GREEN,434
test3_35,111.0,probenazole-1,1,0,0,GREEN,435
test3_12,235.0,methidathion-1,4,0,4,RED,436
test3_20,3.0,propamocarb-1,1,0,0,GREEN,437
test3_7,544.0,dimepiperate-2,2,0,2,RED,438
test3_30,204.0,isoproturon-2,1,0,0,GREEN,439
test3_25,142.0,pirimicarb-desmethyl-formamido-2,1,0,0,GREEN,440
